Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
14.47,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.48,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.49,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.50,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.51,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.52,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.53,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.54,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.55,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.56,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.57,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.58,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.59,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.60,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.61,0.00,0.02,-4.71,0.00,-0.13,-1.90,
